,name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1.069,1.132,1.345,1.3,1.898,2.139,2.085,2.337,1.677,1.865,2.312,2.485,3.477,3.954,3.984,4.465,4.817,5.7330000000000005,7.13786580261281,7.528514800285307,8.168219520359386,8.987253722751959,8.943148171784667,8.917042301724354,9.672149201016094,10.046104058738145,9.417294047350902,9.804526315789474,9.154255789473684,8.937625263157896,8.990656842105263,7.9789663157894735,8.942056842105263,10.297557894736842,10.213784210526317,10.91381894736842,11.035610526315788,9.795245263157897,9.98717894736842,11.359523157894738,6.56206,10.541605263157892,10.262021052631578,10.694889462744376
1,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.463,0.518,0.579,0.592,0.598,1.019,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.124,5.832512475377544,6.365522980958635,6.499760669730794,6.218525400006912,6.414443480664893,6.184555154300722,5.883246224556796,6.138586031724091,6.0600013131976365,6.358645108338805,6.247497045305319,6.071060368399868,6.949712538701905,7.261834335946816,8.13751914,7.487386849999998,8.249912840999997,7.896158096,7.547069263,7.446049653,7.366924462000001,6.760935214,7.322260778,7.136634289000001,7.63215399,7.609291411,8.123817313,9.634035740144348,8.225945145697471,7.596099790189259
2,US,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175945,16.22706037653718,16.23590253395494,16.58441397358133,18.6729784402924,19.98969177185428,20.40426480582133,19.754301961701323,22.56475354185365,23.536121862459236,24.67878665730967,25.756037242299385,26.65611631812324,27.37760327329065,26.40504894535597,29.80459916417432,35.59532613515335,36.39289442388841,38.70167220067231,42.66543317579288,42.39406125965065,48.85426789473684,57.45931526315789,60.55176315789474,64.81541210526315,66.92472368421052,66.35485736842105,63.26507947368422,64.82596,65.82008368421053,65.61712578947368,66.47772052631579,66.58282210526316,66.83043578947368,71.78935684210526,71.33214,71.94537263157895,72.59806,73.08227052631577,73.86955052631578,73.55147368421052,73.15986105263158,75.06184631578948,75.77515894736842,77.03610210526314,80.66553157894737,84.07022947368421,83.73626526315786,82.72256631578944,82.8003210526316,81.89320631578943,76.82054315789473,76.82545789473687
4,Argentina,0.0,0.0,0.0,0.0,0.0,0.0475409912536443,0.0498646137026239,0.0643531519274376,0.0490424344023323,0.0500676714285714,0.0549226415094339,0.0502027915451895,0.0538551078167115,0.054136662087912,0.0843937633928571,0.0862515679442508,0.0747225,0.095912465437788,0.1373147840531561,0.0973927918118466,0.1033216142857142,0.1070789208074534,0.1081568233082706,0.1211160473515248,0.1193769078947368,0.1067632837301587,0.0996004043126684,0.1018654945054945,0.1074384027777777,0.1192900375939849,0.1155924572981366,0.3513974920634921,0.4456320499999999,0.4638812030075187,0.6504551428571428,0.6750143101045295,0.6093258502538071,0.8502486378737542,1.0140798583569404,0.9002950902873069,1.0740729008582477,1.5674103145608935,1.5757086957797837,1.6935363836722537,1.7287561618454934,2.0132548103458903,2.1902058280382435,2.453821610479798,2.457350050109091,2.302025252058275,2.378258597844312,1.963408642560764,2.383654507707831,0.473010421274291,0.6229445618688644,0.4139411911371369
5,Brazil,0.0,0.0,0.0,0.0,0.0,0.5146915000000002,0.6333952500000001,0.7165701875000001,0.7508003750000001,0.7851518,0.8671775749999999,0.864337725,1.1168454625,1.3319440750000002,1.7760194000000002,1.8055082625,1.873622875,2.178474475,2.9844549499999995,2.8516788875000003,3.067125588592233,3.193932423867313,3.565697314724919,3.339783794093851,3.403162338511326,3.8590625,3.9996125625,4.929360737945206,4.983937033224442,5.388223648777489,5.593740488958306,6.752709628222037,7.378950998212702,7.505233012160118,8.376002280958721,7.855363,8.990407,10.226146964757708,11.894463,12.475055704810552,13.590939278459237,14.845658984288528,18.063444083612765,19.786257301833977,22.875872126241536,31.94237545193584,32.62904071985913,35.76567086016292,40.971846093115005,47.07918278990484,49.880320830909625,51.3346995595824,52.912105335732605,54.38223437139191,54.92087661094904,55.3680730069685
6,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.057,0.051,0.046,0.051,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.208,0.201,0.195,0.28,0.271,0.327,0.321,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.45,1.375,1.683,1.781,1.695,2.031,1.79,1.431,2.696,3.588221316000003,3.391681815600001,3.4124772480000027,4.314426102000005,5.98317351470219,6.896006202000004,4.989873005000016,5.566129615589991,6.722216022035908,7.449310112720335,9.157251968936658,9.546549542543517,10.338383949396723
7,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.202,0.192,0.206,0.216,0.227,0.212,0.231,0.234,0.255,0.267,0.266,0.268,0.274,0.274,0.274,0.269,0.34,0.389,0.444,0.477,0.496,0.483,0.532,0.457,0.496,0.496,0.491,0.495,0.467,0.503,0.5197260857104409,0.507136400947158,0.5093493246425529,1.0032873036440142,1.1099823194394334,1.3783877318957567,1.4760585773762114,1.346433720606777,1.728923015922346,1.8229001295927787,1.9938043352888868,1.991259283859284,2.1190292890070728,2.439808307741437,2.4346620910865213
8,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324057,0.1028562829999999,0.145555728742,0.218752751,0.208324462,0.2165197969999999,0.235561874588,0.278200369999,0.296353241997,0.295787929997,0.399471182998,0.407751048,0.489796490998,0.43085,0.427967651475,0.45472344827,0.4847936567853065
9,Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.227,0.23,0.266,0.266,0.245,0.242,0.215,0.163,0.085,0.076,0.151,0.145,0.142,0.169,0.154,0.136,0.136,0.145,0.136,0.133,0.133,0.109,0.119,0.142,0.137,0.154,0.126,0.139,0.158,0.163,0.186,0.196,0.153,0.348,0.348,0.417,0.46,0.46,0.673,0.675,0.668,0.96,1.291,0.907,0.556,0.4714339999999999,0.418896,0.52998,0.6942295948098006
10,Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.035,0.029,0.025,0.023,0.019,0.023,0.029,0.029,0.026,0.019,0.018,0.016,0.013,0.017,0.026,0.031,0.027,0.026,0.031,0.025,0.03,0.028,0.032,0.033,0.017,0.018,0.018,0.018,0.02,0.029,0.026,0.012,0.023,0.022,0.026,0.019,0.02,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
