,name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,118.08800000000001,131.0,133.924,136.20000000000002,150.638,158.137,162.46099999999998,181.63899999999998,194.65400000000002,210.667,202.47000000000003,212.689,220.147,235.254,244.121,251.148,266.015,257.795,265.952,286.12300000000005,303.64500000000004,310.635,316.206,307.435,290.44974444444443,295.6833232323233,307.27599191919194,315.1746545454546,322.213897979798,327.85558080808084,334.05973434343434,354.5920747474748,348.6796212121213,330.86992525252526,345.00078282828287,356.7600777777779,331.5210292929293,349.2746393939394,336.1393646464647,338.39836060606063,361.95574949494954,352.8872858585859,367.62145959595966,377.48773030303033,368.68740505050505,351.38480303030303,375.7237242424243,380.2671363636364,391.7888717171718,382.5013787878789,382.19325656565655,385.4324252525253,394.58738484848493,385.8939616161617,379.6689262626263,384.67193587736085
1,Mexico,8.863,10.118,11.017,12.642,13.406,15.005,14.572000000000001,15.531,16.371,16.708000000000002,15.182,17.255,19.193,16.217,18.008,16.91,24.618000000000002,22.924,20.733,23.603,28.427291666665873,21.297499999999403,19.285194444443903,21.836111111110498,25.35419444444373,24.480944444443757,22.62526388888826,26.813694444443694,26.65493055555481,20.271319444443876,27.598666666665892,31.336277777776896,26.362097222221482,24.592944444443756,32.71231999999908,33.07487999999908,28.4353299999992,24.861589999999303,19.852204999999447,25.176393611110406,27.709445555554776,30.446474722221367,27.3396741666659,39.223909166665564,26.722005555554805,37.15799055555451,36.27041916666565,31.91068805555466,28.021321944443663,38.892768888887794,30.89154055555469,30.697353055554693,31.84765583333244,32.48555555555464,23.608055574442,26.836872354823893
2,US,198.97408585858588,199.9369070707071,227.22081313131315,228.15470505050504,256.02852222222225,253.49236565656568,272.253998989899,278.7159878787879,278.21270101010106,307.28465151515155,306.21482121212125,289.8224626262626,225.85725959595962,286.3285090909091,285.93532929292934,282.00211111111116,266.50976161616165,315.5293060606061,338.6776313131313,327.5872373737374,287.18236161616164,296.9749686868687,255.41019494949495,228.3846494949495,274.72417777777775,292.2809141414142,287.32601414141413,251.4256777777778,279.25094545454544,259.3413212121213,311.2198151515152,347.54947979797987,355.9731212121212,322.0892737373738,316.6051818181818,272.76135050505053,210.24000000000004,258.1675787878789,269.97096767676766,262.55464444444453,266.42774444444444,285.54401414141415,243.04406262626264,251.05386161616167,271.53307979797984,257.2746838383838,316.0953414141414,274.0300272727273,266.54984848484855,255.7505797979798,246.45312828282832,263.76366262626266,296.80644646464646,289.514595959596,285.4676636363637,288.676394949495
4,Argentina,1.225,1.241,1.2710000000000001,1.498,1.344,1.555,1.544,1.504,2.994,5.0280000000000005,5.2010000000000005,5.013,5.766,7.752,10.66,15.144,14.685,17.593,18.419,19.88,20.646,21.009,21.841,15.033000000000001,12.965,17.876,16.221,19.779050505050506,23.55547474747475,27.972787878787884,28.458121212121213,25.94518181818182,33.029959595959596,32.42178787878788,26.53007070707071,34.034010101010104,41.903262626262624,41.467050505050516,39.08008080808081,35.40287878787879,39.35009090909091,43.624,37.741,37.199,40.783,40.543,39.641,36.876000000000005,40.699999999999996,40.864000000000004,41.7709,38.25439327134676,41.54297857728944,41.64786517948377,37.06678705821085,30.54359219366753
5,Brazil,25.515,27.906,29.189,30.55,32.692,39.801,43.199,50.681000000000004,57.89,65.679,72.287,82.913,93.48,102.746,116.58,128.907,130.76500000000001,141.132,151.475,166.593,178.375,182.419,185.6,199.09300000000002,204.69,206.708,217.782,223.34300000000002,235.065,242.705,253.905,265.769,278.972,291.469,293.0,304.403,267.87600000000003,286.092,305.616,320.7969068355004,337.45667393874817,348.80546000000004,374.01512160000004,369.55640000000005,390.988065,403.2898132620503,428.33291987125745,415.34217545657515,390.9920139739778,373.4390604742687,359.7428081943405,380.9109423801205,370.9064563760924,388.97107587738856,397.877056628865,396.7985
6,Chile,3.954,4.168,4.255,3.565,4.024,4.307,4.809,5.73,5.595,6.364,6.388,6.599,6.969,7.251,7.448,7.871,8.15,8.914,9.613,9.975,11.07,11.83,12.823,12.558,10.543000000000001,8.941428,13.135654,16.740150000000003,17.217321000000002,16.985472,18.413739000000003,16.873468000000003,18.943147999999997,15.937255000000002,13.577,19.081,21.68,23.187,22.603,20.969338340000004,25.5755,28.21505008325027,22.33485910796505,24.266146190000004,25.17931053,21.75947414,20.51000509,20.16202386,19.90721056,23.045077600000003,23.62150692,19.690726967,21.325730884960002,23.366769176530006,21.440327173052385,20.657328442181633
7,Colombia,3.543949465861588,3.9372193683232664,4.389253738968884,4.891011890385508,5.4379734788667005,6.0527402229447205,6.423408406874127,7.1150209939619105,7.743348769159314,8.79206850905713,9.732299999999999,10.226420000000001,10.451812,12.07144,13.2593,14.44702,14.26534,15.238536,15.365776,17.140220000000003,18.440772000000003,21.332952000000002,23.247560000000004,24.5194,26.78212,27.495852,27.726080000000003,22.280584,27.856392,32.058392,31.989400000000003,35.28762418028699,31.475759999999998,30.781684000000002,33.700658000000004,30.815718,31.632658,33.968038,36.17636,38.33005800000001,39.22088800000001,42.55789176578997,44.24198162773011,46.160882809270035,40.837366031699936,40.55746262644001,48.42747813456012,47.58170976419006,44.36279007342987,44.74196339773992,44.6819023670798,46.78792652678983,57.3419,56.64701406994998,54.14455518274,43.993387065767664
8,Ecuador,0.249,0.28500000000000003,0.314,0.328,0.364,0.405,0.44,0.445,0.435,0.5,0.628,0.605,0.558,0.791,0.709,0.872,0.779,0.895,1.721,3.233,3.279,4.0120000000000005,4.57,4.8260000000000005,4.954,4.986687700000001,5.075921,4.9735809,5.8101371,6.5652775000000005,5.1605513,6.3434151,6.5341771,6.5060954,7.176725936940001,7.611231425514999,7.070652628787999,7.5242560301240005,7.180416910383,7.411699139289,6.882639372876,7.129493192311,9.037655280444,11.293333006077999,9.225407228995,8.636400921231,11.133088253311001,12.237723413637,11.038824572775999,11.457895633368,13.096270011695001,15.833842014887999,20.088610000000003,20.678001867655055,24.664263544249003,24.767994933530233
9,Peru,2.625,2.827,3.168,3.4,3.701,3.536,4.2860000000000005,4.4350000000000005,4.769,5.216,5.4670000000000005,5.793,6.025,6.192,6.703,7.01,7.996,8.396,8.107,8.703,9.382,10.06,10.878,10.423,10.507,10.469,11.492,9.689,11.799,12.747,12.9376,13.3236,13.214500000000001,13.8083,14.540600000000001,16.1761,17.6148,18.0401,18.5337,17.525299999999998,17.977,19.5943,19.5488,19.0596,19.9038,20.0521,21.5573,22.0319,22.319599999999998,22.210700000000003,23.687062827457567,23.826156,29.074513497615772,30.737000000000002,31.462,30.507
10,Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
