,name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,540.1627500000044,590.5500000000048,666.7500000000053,714.3750000000058,699.5541000000056,714.5655000000057,720.8520000000059,757.2375000000061,730.758000000006,770.5725000000062,712.2795000000057,688.2765000000056,722.4712500000059,679.5135000000056,744.7597500000061,805.1368200000064,755.1515250000061,818.5651650000065,945.2686200000074,1004.2693275000082,1034.4778650000085,1088.785605000009,1199.6470800000095,1320.6402975000108,1429.4710425000117,1527.412500000012,1539.180750000012,1597.3090000000125,1656.0410000000131,1705.4020000000137,1763.046750000014,1794.1922500000144,1807.2257500000144,1760.4700000000137,1767.3520000000142,1791.524500000014,1793.9740000000145,1746.791250000014,1664.9160000000136,1550.5082500000126,1495.9107500000116,1510.7132500000118,1503.0520000000122,1519.2035000000124,1589.9160000000124,1607.5567500000127,1719.8332500000138,1739.0197500000138,1767.7627500000144,1689.8585000000137,1651.9486942422473
1,Mexico,110.3030724735389,109.18173073651016,113.480226712809,123.3059401084132,129.2620303659848,131.3903411504026,128.85492711777053,136.65276270152472,171.05864545712492,207.6546544500975,251.15241594518648,270.5790728942905,288.5231111946229,290.9616630092805,286.19361489329134,277.63767532751206,246.6160911389597,250.671013527726,253.93228626170745,243.76479232539504,263.861396841276,267.5909671601912,259.3753216405873,277.78210000000223,292.2300972222246,291.8625122222245,308.0502702777802,311.0647225000025,329.3411313888915,342.35268361111395,333.7866919444471,331.4070427777804,337.27730555555826,348.40408083333614,370.27044916666966,443.1189113888924,484.522002500004,468.58574305555936,472.30578388889273,525.8305111111154,511.77817805555975,520.9899083333374,508.50187000000415,524.8803919444487,512.9980325000042,479.4694752777816,436.51424027778125,382.6844372222252,351.9102777777806,312.9488888888915,300.7177218207192
2,US,5714.622983608433,5876.605972425149,5857.550081143051,5852.223104143173,5594.471904292253,5180.414707403605,5138.206142963688,5160.62660735979,5139.498586383146,5295.416850395037,5250.90747290452,5195.927193604676,4831.8986351355625,4376.738044812617,4749.843776309747,4478.812324677934,4362.867225518222,4519.811531346786,4641.875690687731,4707.46798551719,4833.779272192858,4808.083650666261,4846.68919936948,4901.799250539196,5103.308588054503,5033.2085670947245,5102.320792012486,5115.3990005976,5173.280419728187,5101.38047348384,5186.002810727006,5318.949871187727,5112.287640888225,5178.558072866956,5031.100829265152,4894.4080567636665,5017.2405605292815,5218.888901653171,5460.674732578283,5575.82511091701,5751.5744684987085,6173.585467696295,6491.248277902207,6556.9273510755465,7047.264822344657,7403.032029723791,7273.561114533491,7461.707114619512,8409.361710374324,9299.875272443129,9146.20955267658
4,Argentina,58.54450000000048,63.26598750000052,60.13940000000049,65.48815000000053,70.48680000000057,74.80470000000061,71.32315000000057,73.61825000000061,75.95225000000062,70.31175000000059,81.64623750000065,84.95273750000068,95.20775000000076,127.78650000000104,131.09300000000107,135.08025000000112,150.83475000000124,147.33375000000123,174.66100000000142,184.67775000000157,173.4940000000014,193.8192500000016,195.3752500000016,209.2820000000017,216.57575000000176,243.222250000002,281.3442500000023,266.2705000000022,287.7627500000024,336.1932500000027,363.812250000003,361.186500000003,351.16975000000286,399.1140000000032,436.4580000000036,443.7517500000036,448.3225000000037,435.9717500000035,428.4835000000036,403.0119119682538,389.96995759325335,377.1784510460033,366.9120329687528,345.55853567050275,344.8587954685021,354.91144248575245,372.8235641480033,371.4988828035026,394.2538984767527,416.1581657040027,382.91571479600304
5,Bolivia,0.4186800000000034,0.4186800000000034,11.164800000000092,17.21240000000014,18.014870000000148,17.759010000000146,18.305620000000147,19.317430000000154,19.038310000000152,20.81770000000017,25.5278500000002,27.22583000000022,28.237640000000223,27.10953000000022,26.074460000000208,25.841860000000214,26.318690000000213,27.52821000000022,29.098260000000234,30.691570000000247,31.36611000000025,31.18003000000025,28.311233735080204,28.24683784847505,30.458205055042598,30.43366925491412,30.73311586603772,25.904449086660808,27.05500295456309,21.784060547811848,31.224025881505,45.47095314320849,58.2584580037519,66.95388654564135,94.19880353394196,116.21581345530905,124.45292888113346,133.30192546305187,137.92018935365587,118.81584314764042,137.14502311718795,150.34001244715537,171.39783626480298,195.75464173333657,202.7682462439672,195.60595680666427,187.7454544822364,182.3577482013766,170.36033961680806,149.50343722193213,144.0965282758256
6,Brazil,0.8110123893805371,1.2874821681416029,1.7538142920354116,2.0072556637168297,3.862446504424809,4.207126769911537,4.845799026548709,6.031904646017745,7.937783761062008,8.698107876106262,10.168067831858489,9.123889380531043,13.037024159292134,17.629381814159427,20.5186134513276,25.7395057079648,29.977045442478108,33.48467402654894,33.697564778761325,34.549127787610885,31.45513579743388,32.70060752380556,37.0439945127879,43.39462702783219,47.39170158889417,52.304946433274736,57.15754782623938,62.21663297354031,65.17324960261112,76.5252333204873,77.09713111534856,78.73798048515732,95.12575740905405,103.34111315098974,113.65777781550356,112.41440709352534,114.7847159761368,115.5773508260716,143.7606972166949,122.76942431914848,150.20553351427992,172.26965221479682,198.3284957782325,219.49594434327452,233.47676079327616,238.0449502789399,241.2357771484089,271.8142186905774,251.62356744325012,257.46527047725857,239.28180499867443
7,Colombia,12.4932500000001,13.004500000000103,15.88550000000013,16.460000000000132,17.125500000000137,14.91575000000012,15.14800000000012,17.174750000000135,22.808250000000186,26.05600000000021,27.844750000000225,30.519000000000243,32.53600000000027,35.745500000000284,36.34075000000029,37.0675000000003,36.12650000000029,38.06925000000032,36.710750000000296,37.10250000000029,39.24600000000032,38.86150000000032,39.80900000000032,38.97375000000032,40.20450000000034,42.149000000000335,45.46850000000036,56.74000000000045,64.89550000000052,56.92900000000045,57.35807355078383,59.389931181200055,59.98681491166437,57.49979936806302,61.34820040649053,64.46344289014678,67.6468227859565,72.57884233266621,87.18864453895111,101.1181970769535,108.43387770101852,105.45846457194776,115.2564767799446,132.23475922257688,123.32834187900914,116.10315828737718,120.20202398275944,122.87946259655033,128.5651818179752,131.93889407944062,132.58293442722805
8,Peru,3.975125000000032,4.745125000000039,4.562250000000037,4.466000000000036,4.600750000000038,5.678750000000045,6.160000000000049,6.11668750000005,6.391000000000051,5.909750000000047,6.352500000000051,7.295750000000059,7.656687500000061,5.043500000000041,6.814500000000054,5.313000000000043,5.6354375000000445,5.601750000000044,5.284125000000042,4.480437500000035,4.287937500000034,4.023250000000032,3.628625000000029,3.821125000000031,3.984750000000032,3.859625000000031,3.917375000000032,2.3196250000000185,3.936625000000032,3.955875000000032,3.325437500000027,3.561250000000028,4.254250000000034,5.03387500000004,8.277500000000066,14.599701208930934,17.08644260016703,25.751993197739942,34.97943491614715,35.857998813656536,73.14945904836341,114.80540723125124,119.5807474709357,123.99125543279575,131.27230024552978,126.5671660782385,140.18435321378098,130.1074692413131,128.11485579619753,134.95792144765326,120.8974103609633
9,Trinidad & Tobago,17.767575000000143,18.63500000000015,19.260750000000154,18.49800000000015,16.899750000000136,15.359750000000124,17.28825000000014,20.321500000000164,24.260250000000195,25.0765000000002,28.33250000000023,31.209500000000247,37.93125000000032,39.297250000000325,41.176000000000336,42.15200000000034,43.13450000000035,45.69350000000036,52.59425000000042,52.69475000000042,54.63375000000044,55.35165461625046,53.48801122015356,60.033137842500494,68.75721952530056,73.81322140965061,83.34404657394835,90.44336442680512,90.44336442680512,114.07534029316386,138.30671124130237,147.14865614885747,172.62418634064514,251.8541592244333,285.78665117375857,300.10345302373,355.6027120522904,377.03344073659815,373.9951581227618,385.5821044890969,402.9303044187483,386.8521633502419,385.3240721489206,387.4725975684032,380.67205472885934,359.55856537847166,312.8169845593938,318.72927587781857,339.61113154528584,345.60890496463264,294.6526416157511
10,Venezuela,85.5810000000007,82.93920000000067,82.43970000000067,101.55390000000084,107.32590000000089,104.38440000000084,129.40380000000104,141.25305000000117,142.53510000000117,159.6402000000013,164.34105000000136,165.22905000000134,176.30130000000145,173.60400000000143,192.0300000000016,192.3130500000016,211.7214000000017,206.31570000000164,211.21080000000168,216.87180000000177,243.817050000002,243.112200000002,239.959800000002,258.95190000000207,273.8980500000022,305.26110000000244,330.01410000000266,342.2130000000028,358.924050000003,304.2510000000025,309.9564000000025,328.4823000000027,315.41205000000264,279.9864000000023,315.2955000000026,304.35090000000247,349.45020000000284,372.471600000003,334.2321000000028,317.9595000000026,304.5174000000025,302.3640000000024,319.0473000000026,305.9049000000025,317.88180000000256,360.65010000000296,372.38733946121374,386.0538774256978,316.19099517289845,255.7621864967859,187.51450096579248
