,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5779732465995845,1.2613881878245892,1.3259386245519882,1.359937050822552,1.359937050822552,1.3636629057563123,1.4959307559048072,1.9186430427044985,5.59998558127091,6.008573413300039,8.7290764038374,9.353596822427322,11.039007190164538,10.829853451386104,11.477615329126536,13.438621387806451,12.837873550770295,13.8885555666664,13.800000011039998,13.9191111222464,14.79690648739308,13.33077503298378
1,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,US,16.73274149767351,19.38873222650986,22.044722955346217,25.8337261710598,28.846282290192622,30.384048845856057,21.78627947870848,28.83218296358202,31.444318206973637,32.78657410030333,36.30764593252536,39.80128643933098,48.25922902124771,63.25450702330484,77.15940118857036,90.52149880532622,117.97941573328868,162.8994422700737,231.80676754132352,262.6437657786701,309.50031427240714,345.2214831020231,330.10877650845106,344.5450236880438,364.58819191090544,375.11323999007845,399.23403732029567,411.9172085724296,424.4400673185358,412.8214578967435,374.2582469580349
4,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053206034931768,0.1061213265032531,0.1061213265032531,0.1061213265032531,0.106412069863536,0.1061213265032531,0.3526723409289009,2.0078580282813703,7.112290458294546,11.96508750423367,19.893944244219156,25.84481551629025,26.502537384981224,23.838685126434957,30.58442392489634,23.46184455913188,32.76828433961063,36.23187024123581,31.70342870212299,28.550028831245506,17.103284086331822
5,Brazil,65.00527112399222,72.90802239308192,66.79854725997464,64.79952866128049,71.16421904238607,72.52801369959745,80.75185327759158,88.75702054327773,81.04088005272348,74.7735330523233,61.7951979980912,66.34446536777419,72.80916550460483,83.9170491244206,84.63428449463896,92.56785002335936,102.80183355930905,132.9131681302497,166.03877948619174,163.49847012970747,181.34160547941588,155.90175723009526,159.61436701171408,185.3761466582036,195.1959399744412,209.42525208808345,197.13770556104717,198.33237751091008,238.32604656247187,254.90165859982903,245.474193278922
6,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171541807095707,1.5707597002990674,1.6889793656512688,1.7494818524783455,3.642700018837531,5.25143033643421,6.63856814551833,7.279805987293439,7.537292621007846,7.8369017012047,8.02419859810931,7.806001744981364,7.153718985686159,8.93694986138709,7.976526063333414,7.281117243951913
9,Austria,0.0732690000586152,0.0802470000641975,0.0895510000716408,0.1011810000809448,0.0674540000539632,0.1302560001042048,0.1418860001135087,0.1535160001228127,0.1651460001321167,0.1814280001451424,0.2128241397270721,0.2122426530065063,0.2653033162581329,0.3183639795097595,0.5852663842494483,0.8489706120260254,1.273455918039038,2.57590432020844,3.095624882745545,4.284925551141442,4.487388336923243,4.4591111146784,4.4591111146784,4.280500003424399,3.7563333363384,4.3560000034848,4.8046666705104,4.472944448022799,4.41232222575208,4.42280000353824,4.577222225884
10,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5663051412530442,4.249497333399598,4.906836563925469,5.202564204162052,5.10834957408668,6.688180405350544,4.491273403593019,4.32565057346052,5.181676724145341,4.935504513948404,5.2234051641787245,5.202584702946452
11,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330305812320337,0.9916350356373208,2.6928994600711267,3.5050524876480544,2.4160908868808773,3.0660770144320635,3.84453302703403,4.295519205415617,5.011312777967454,1.2871334444681524,3.625292824151495,3.301683168944604,3.95019852615762,4.542121952575342
12,France,0.0,0.0,0.0262489100209991,0.2923782002339025,0.9494266807595412,1.861381501489105,2.678551822142841,3.20660034256528,2.997667392398134,3.151253172521002,3.775865583020692,3.7668988530135192,4.034772643227818,4.430087973544071,4.643859003715087,7.501698906001359,7.866113326292891,13.11383682049107,24.178932839343148,27.055718011644576,26.3748745510999,26.24407194099525,30.628035334502428,28.553371262842692,28.880988363104795,30.70296742456237,28.09411419247529,27.29157441183326,31.49551703519641,29.03573714322859,26.78901210419181
13,Germany,0.0,0.0,0.0516720900413376,0.0516720900413376,0.2893311402314649,0.3616697402893357,0.5683348404546679,0.9300045807440036,1.0333371308266697,1.343334781074668,2.5833370120666697,3.6166625128933294,5.683336774546669,6.912906895530326,10.579197886072787,16.17636472294109,26.602171271281737,33.023257096418604,29.39069637351256,29.409874243527906,36.44825720915861,35.81365462865093,33.56023745684819,35.74399092859519,39.94681897640189,36.827896196128975,37.24674791868628,38.01764447485856,39.05973903124779,40.79567158819208,40.65214178786362
14,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.939447612351558,2.055555981644445,2.291947361833558,2.076106191660885,7.279286785823428,8.685807356948645,9.046453657237162,6.820413505456331,3.6217331928973855,5.312421184249937,5.963247614770597,6.031550604825241,6.093992074875192,7.311641445849313,7.8877334963101875,9.075993857260794,9.797778139662547
