,name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,0.3555555555555584,0.4777777777777816,0.4250000000000034,2.55000000000002,1.4694444444444563,2.880555555555578,11.852777777777872,20.03055555555572,42.37222222222256,40.82222222222255,34.91666666666695,48.37777777777816,73.17222222222283,86.67222222222291,97.9750000000008,105.6444444444453,111.29722222222313,106.49166666666753,135.02777777777885,145.02777777777894,168.11388888889024,197.96388888889044,214.6138888888906,230.18611111111292,220.32456140351053,201.2777777777794,234.27485380117147,222.283625730996,259.12280701754594,297.45614035087954,269.90058479532377,255.8947368421073,227.65204678362755,197.2017543859665,202.72222222222385,200.8157894736858,210.187628161314,205.64516129032415,202.6148785425117,242.97519275896929,245.85443037974864,260.0335981463111,246.611842105265,251.7072989539084,234.7076418128672,234.73554988698916,240.84574326059223,242.6428409888375,262.98911334813124,271.1208192562263,255.761040256894,253.2987081905966,251.486900000002,248.61544044321525,248.8447849433791,240.61395927915217
1,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0333333333333417,8.158333333333399,11.783333333333427,10.886111111111196,13.697222222222331,11.775000000000093,23.452777777777968,21.883333333333507,29.044444444444675,25.73611111111132,27.78333333333356,22.83611111111129,24.081493506493697,26.724606296774404,28.60987693750022,24.88804156879,29.063829537974915,29.0449840455977,27.680050834375216,25.880061608695843,27.54912674382737,15.329308414570663,26.14577979039653,22.588360586666827,30.210509551355635,24.62762529476066,29.28740233705378,26.57425477423096,27.207154386000223,24.01833188863749,28.322772384195996,28.17264735656388
2,US,10.692102339181371,16.140084795321766,22.383666666666844,36.63280409356754,40.72467543859682,63.755695906433246,111.41679824561491,158.16121345029364,244.0919970760253,333.2623976608214,504.40080409357125,558.7822543859694,733.5768508771989,808.1961111111175,746.0661491228129,734.2560672514678,797.2909444444508,826.822362573106,858.7050263157962,957.992833333341,1121.9027105263249,1210.6376111111208,1331.1999473684316,1540.856862573112,1547.8208099415328,1686.7300526315928,1791.1259853801314,1809.2873187134649,1784.4772339181434,1872.6310877193127,1969.012055555571,1972.8904853801323,1838.140850877208,1969.889192982472,2129.3980233918296,2204.365321637444,2233.432542036928,2251.4583156197123,2190.1916017206645,2246.8961748240195,2214.151932878098,2214.948164846094,2254.8060527960697,2240.1999664923346,2206.063682586112,2214.79837213434,2155.5639022785776,2085.90609776716,2126.391889822463,2135.490339426425,2122.8107626879846,2132.793073185938,2118.2885131579114,2111.4860124653906,2109.760588618908,2051.393890745929
4,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8777777777778004,6.99166666666672,7.144444444444503,4.547222222222259,8.04444444444451,7.477777777777839,6.500000000000051,7.822222222222284,5.1944444444444855,9.458333333333409,12.891666666666769,16.016666666666794,15.863888888889017,17.958333333333474,16.105555555555682,13.99722222222233,20.225000000000165,21.544444444444625,19.669444444444604,21.52777777777795,22.87500000000018,19.627777777777933,20.71944444444461,22.11388888888907,20.702777777777943,19.738888888889047,17.158333333333474,19.481006493506648,15.960806451613026,20.61250000000016,21.301433121019272,18.487500000000136,20.637893081761163,19.268437500000147,19.51832298136661,21.46774691358041,18.799079754601365,16.585365853658658,16.49000000000012,15.891415662650717,14.032634730539025,17.806994047619174,20.835059171597777,15.22000000000012,17.079532163742826,20.9066957986255,26.305481324406003
5,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5638888888889255,9.391666666666742,0.4000000000000032,2.7027777777778,1.6888888888889022,5.083333333333374,6.213888888888939,4.005555555555588,4.886111111111151,1.2277777777777876,0.152777777777779,6.997222222222278,6.741666666666721,8.802777777777848,9.069444444444516,11.04722222222231,16.79444444444458,39.406331168831485,37.93741935483901,36.391987179487465,31.43105095541426,26.50870253164577,36.764103773585184,32.804050000000245,36.87358074534189,33.992129629629886,37.86712401840519,40.5807000000003,41.3110303030306,39.55492921686775,39.13680571257513,37.273898047619305,39.8955388077391,39.34799109485781,38.95556715999749,39.93846065094568,37.73656161407579
6,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Belgium,0.0,0.0166666666666668,0.2611111111111132,0.1694444444444457,0.0611111111111115,0.1583333333333346,0.0,0.0305555555555557,0.2111111111111127,0.4111111111111143,18.844444444444598,27.877777777778,33.163888888889154,34.75833333333362,31.68611111111136,34.85833333333362,35.71944444444473,43.51111111111145,66.96111111111165,77.06388888888951,96.11388888888963,109.42777777777866,116.57500000000093,119.72777777777874,114.49166666666756,118.6722222222232,119.05833333333428,120.71111111111207,116.46388888888984,112.84444444444534,114.8777777777787,120.37777777777876,131.68888888888995,128.23611111111214,136.15833333333444,133.76944444444553,127.91120129870234,129.85806451613007,129.07740384615485,128.07388535031944,128.02452531645667,124.68003144654182,128.10296875000097,120.28819875776486,123.8848765432108,125.00736196319112,124.99664634146434,103.79015151515226,109.17891566265138,85.77110778443175,66.03437500000047,109.45133136094752,105.56700000000124,71.07441520467893,107.77385588784318,84.75976044599363
18,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5777777777777984,7.094444444444502,13.858333333333444,16.344444444444576,16.416666666666796,17.166666666666803,17.125000000000135,25.33055555555576,29.85000000000024,34.21666666666693,35.37500000000028,36.47500000000029,33.52777777777805,34.54444444444472,44.52777777777815,40.46111111111144,40.73611111111144,36.62222222222252,32.088888888889144,38.8138888888892,42.59722222222256,47.94722222222261,50.22777777777818,49.308333333333735,46.94166666666704,43.92777777777812,50.49444444444485,53.96120129870172,55.44741935483915,47.07692307692345,45.51831210191119,50.17420886075987,52.10393081761047,38.89546875000029,41.615683229813975,40.02345679012375,39.75966257668741,42.27713414634177,40.65833333333362,36.281743072289416,40.37920164670687,38.90546130952409,39.67297795858017,38.8637475000003,40.0774527777781,40.99450680504379,41.03841173753983
19,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55555555555556,3.4416666666666944,6.6583333333333865,17.080555555555694,29.72500000000024,32.822222222222486,34.494444444444724,34.958333333333606,33.700000000000266,34.02777777777805,35.07500000000029,36.04722222222251,33.97222222222249,35.69444444444473,34.70555555555583,36.605555555555846,37.10277777777808,37.7500000000003,40.70423701298734,51.378935483871366,70.48434294871849,71.26113057324896,66.51411392405114,69.62114779874268,69.51964062500053,70.0880434782614,71.37848765432152,72.97536809816003,73.29332317073225,78.10778787878846,78.71537650602467,77.1741467065874,67.90083333333381,60.61707100591759,70.84900000000057,74.36580409356783,74.89613910510325,74.12043174603232
22,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Estonia,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.339181286549767,9.002923976608258,18.596491228070327,19.37134502923992,40.45321637426933,46.27485380116996,48.88011695906472,52.04385964912322,52.5730994152051,52.62573099415247,54.19298245614077,53.938596491228495,52.66081871345072,53.0058479532168,53.82163742690101,53.12865497076066,54.97076023391857,53.59064327485422,53.0058479532168,54.61695906432792,58.62865497076071,61.33333333333383,64.50292397660868,63.08479532163793,63.485355434040144,61.75069609507688,62.60261470985204,62.15828025477754,63.30064956695583,61.91016219794817,62.91453947368468,61.26918927754215,62.41286549707647,60.07636422344248,60.73708279846,59.81939393939437,61.10486683576454,60.66530097699382,59.45206766917335,58.97851136717574,56.77368421052676,57.24484456755969,59.72894820692362,58.0630242272352
25,France,2.491666666666687,3.875000000000031,5.766666666666713,8.569444444444514,10.000000000000078,15.863888888889017,25.9138888888891,40.53055555555588,40.97500000000033,40.86111111111144,50.6888888888893,43.82777777777813,49.83611111111151,84.58888888888957,111.00000000000088,170.14166666666802,292.57222222222464,302.5527777777802,400.7250000000032,531.2055555555598,622.500000000005,705.9861111111168,737.5555555555613,765.3361111111174,844.2527777777843,872.4472222222294,920.3888888888964,940.1250000000074,1022.7444444444528,999.9472222222304,1047.8638888888977,1103.722222222231,1098.5638888888975,1077.7500000000086,1095.1222222222311,1153.2277777777872,1162.060389610399,1197.5677419354931,1201.633012820522,1213.3912420382258,1214.5558544303888,1203.3407232704496,1168.0328125000087,1160.0309006211266,1074.9246913580323,1117.309355828229,1146.432317073179,1095.7427272727352,1084.7356927710923,1110.799850299409,1106.5882047619127,1013.9531352071076,995.897822500008,1026.317369005856,988.0390701807172,872.9482070204152
26,Germany,0.3250000000000027,0.7361111111111169,3.4027777777778048,4.905555555555594,13.713888888889,18.038888888889037,17.266666666666808,26.45000000000021,33.62777777777804,40.1638888888892,67.05000000000054,82.03611111111177,114.59722222222314,121.86944444444542,144.62222222222337,154.4138888888901,182.0361111111126,206.73888888889056,216.8416666666684,289.7694444444468,385.113888888892,362.4694444444473,393.6805555555586,435.6111111111146,449.0861111111147,423.6111111111144,409.4444444444477,441.11111111111467,426.38888888889227,420.00000000000335,428.05555555555895,448.9250000000037,473.13333333333713,448.8888888888925,472.2333333333372,471.1277777777815,472.75730519480896,451.98612903226166,449.6826923076958,452.2460191082838,438.554272151902,447.3352201257895,373.2934375000028,392.7343167701892,353.9882716049409,366.4803680981622,279.8034846036606,256.1848484848503,249.08584337349572,247.18458083832516,232.1975129464302,212.83698224852225,190.81100000000148,188.9013157894752,185.89263227274944,158.8134603174616
27,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8694444444445,10.461111111111194,18.000000000000142,20.622222222222387,30.516666666666914,37.34722222222251,38.58611111111142,38.14166666666697,38.127777777778086,38.7888888888892,38.322222222222535,39.02500000000031,38.96111111111142,39.388888888889205,38.80000000000031,38.74722222222253,39.15555555555587,39.388888888889205,38.98409090909122,38.25822580645191,30.00336538461562,32.25398089172,37.211708860759785,35.98066037735877,38.98578125000029,39.11583850931705,40.46944444444474,41.09463190184079,40.64717103658567,40.678975454545736,39.34988975903643,39.82434251497034,40.05725178571456,40.37227144970442,40.24399000000032,39.10248538011727,40.33261413810401,39.61208163265338
29,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Italy,9.750000000000078,10.730555555555645,8.755555555555627,7.155555555555614,4.663888888888927,8.822222222222294,9.347222222222296,10.072222222222305,8.727777777777847,9.472222222222298,10.55555555555564,10.575000000000085,9.402777777777851,12.300000000000098,7.300000000000059,6.133333333333384,7.519444444444503,18.90000000000015,16.063888888889018,19.13055555555571,19.511111111111266,24.32777777777798,0.4833333333333372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Latvia,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
