,name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,269.3172336800821,285.6330625949353,296.11418883138646,387.8889328565311,413.0922160927023,383.9216692496911,387.20445745569015,448.3874982373366,477.3333386672168,464.7502979612278,485.5488518141463,431.5361219924754,458.6980718451883,482.0191535641983,500.2250468147536,508.948556157798,527.2064371965643,498.62860999446906,479.27604791834494,454.5244527376708,462.9013882883106,398.45804238247297,369.9703050183977,394.373890526744,410.78751702722695,404.73532533773215,415.14720656371975,413.93111759221534,385.4766952957498,412.0089182729081,412.4502777777885,414.8230555555659,423.7813888888995,420.556944444455,379.0172222222316,380.60361111112064,369.5377777777871,339.4161111111196,316.3258333333412,247.35836240291988
1,Mexico,19.76250000000016,23.763055555555745,30.176666666666907,32.87805555555582,33.7333333333336,36.53527777777806,40.551388888889214,36.20472222222251,38.89527777777809,39.37694444444475,35.75638888888918,33.21166666666693,35.9486111111114,48.6111111111115,47.974166666667045,53.108611111111536,52.69694444444487,55.39194444444489,56.62388888888934,62.97277777777828,48.404802777778166,39.436678888889205,51.32849083333375,68.34697638888943,70.61391750000057,78.71961500000064,84.94325916666733,80.50447111111176,70.7412283333339,85.1354797222229,108.96730472222308,86.33482861111179,83.29921555555623,84.36939722222289,79.91293472222284,70.60142861111167,85.62222638888959,77.66055555555617,64.01666666666718,42.95570308976127
2,US,5116.415502950939,5189.360892316806,4801.775310534355,5490.175149273389,5380.464726832093,5431.777075153197,5607.636158543569,5773.721951846497,5947.047714252746,6260.927270013804,6023.959439561004,6040.026357612625,5661.802274433204,6181.448843524714,6161.25572773659,6345.179333073803,6489.806142309601,6694.60335636346,6485.756903401942,6329.957919136267,6555.920666115756,6329.052719263972,6151.262174611005,6362.42539787355,6455.162179964492,6623.418239295816,6540.788919263768,6640.640523366667,6020.422701846823,6135.828154591477,6186.828953711433,5756.80920137925,5568.713389713996,5647.895609870644,4996.507203709288,4083.574496064199,4350.378661272742,4277.451369045456,3969.054132605023,2976.3230668389097
4,Brazil,33.74405888400025,37.19504622900033,39.68397555100034,44.53918770400039,45.4538523140004,43.10174529000036,39.26487919700031,42.773261755000384,38.6034776080003,19.62071179020015,23.47046583052021,21.972292196170176,21.837794921250158,24.35494979968018,23.892641657330177,22.2676108090702,26.055892228170205,25.49710816514018,26.124039690180187,31.22725395227029,26.808805797990185,29.793071380750224,27.196240756290248,31.53804882714026,33.07119218514023,33.041709879280255,34.014149759050234,37.86603790437032,35.40279192547032,31.78567170519029,31.81142108343025,33.947870784470275,42.16507377761034,41.82689246244036,33.80048462020031,31.147717347560285,25.3286818887502,27.448560665700214,25.144266432500206,26.19526703205021
5,Colombia,32.02176288000025,35.48201352000029,40.550414040000334,53.25993390000043,72.01365780000057,86.16120390000069,117.11247180000092,121.18099470000097,151.6828794000012,164.2495596000013,160.74276570000129,175.7409300000014,174.24031110000138,181.87982550000143,206.55577800000165,237.24223080000183,262.74472740000203,269.3169567000021,262.84102380000206,306.8805774000025,352.37654985240283,316.8509853225384,401.46044086624215,432.4317916212034,478.8747508959038,528.8038647296777,558.4456036843425,587.2048826798305,581.6551314620044,593.9798620443048,685.4781284309089,711.2113581164905,683.0241841598996,707.6454082035974,683.4352304298324,723.0962011032956,723.3922462075434,673.3402105316213,673.8107131483844,404.2864278802907
6,Venezuela,0.4244950000000033,0.4244950000000033,0.3395960000000028,0.4244950000000033,0.3395960000000028,0.509394000000004,2.037576000000016,9.084193000000074,17.913689000000144,18.253285000000144,20.375760000000163,21.054952000000167,33.62000400000027,37.6951560000003,36.93106500000029,35.48778200000028,44.91157100000036,54.84475400000044,55.94844100000044,66.90041200000053,65.28733100000053,68.76819000000054,59.68399700000048,68.83020022960054,61.084830500000486,60.81816274100048,58.20115955590046,42.905441589600336,27.83249859930022,22.335398718000175,22.17083049640017,16.22250940990013,10.436710479100082,6.797353536000054,6.806327360300054,3.659289105825029,2.986627961400024,0.6443273766600052,2.092359626720017,5.914256052080069
9,Bulgaria,54.99801610969579,60.48164205148081,60.81574157450505,60.70202594443805,57.95498542179435,65.98147995548605,68.9222373053644,63.9664277138383,64.21582779491034,59.20681810000048,54.24858857000044,62.574889360000505,60.63590087000048,58.66627896000047,61.48518162000049,62.8194915200005,58.285210380000464,58.92281350000047,49.7295892500004,49.948256510000405,52.30418050000042,51.50115226000042,54.02544376000044,52.78074301000043,48.58941894000039,50.0949108100004,56.33936019000045,56.53613979000046,53.578607530000426,57.51613011000048,72.23261581000058,65.27039772000053,55.69523264000045,59.64588549000048,68.23731539000055,59.52442177000049,66.27609034000054,61.2798423400005,56.72245239000045,45.14698418356909
10,Czech Republic,496.2209897500039,501.445999850004,509.6207850000041,517.1271359000042,510.800183300004,509.7305722000041,506.903958850004,494.7814865000039,473.74078125000375,422.0584896397029,394.4375331975552,365.37872615641794,357.69681859562246,326.8421931000023,316.64538597415844,320.4334789725406,325.2768550727615,303.5584679000023,269.042488700002,291.31521800000246,294.7864822500025,282.0840101700023,283.6000271900022,272.22941736493505,274.1187976200023,277.5099544300024,276.8405665200025,264.99173644000183,242.52396041000176,242.3426836000021,244.4038452400018,235.90388529000208,206.7583028200017,197.6493844400016,196.7551770000016,187.3556714400016,177.73419570000118,171.00909005000136,156.2445491900013,118.6525483455734
11,Germany,1731.166352119514,1738.716392742714,1642.8705899984132,1662.8279141121134,1728.6154789752138,1669.0493623759137,1616.066233989613,1603.598845961313,1530.1110640574243,1454.1818855997433,1234.530744368658,1135.491071770213,1021.6923782579833,941.4317370231672,919.3460667294428,860.4739706065495,824.1913296106802,756.0475837443951,735.9454859614773,706.0866817180392,677.528035165219,679.4618336024895,672.2003910513789,679.3446761877098,657.9307960001545,620.4535169561829,632.8358795980869,582.6158281308744,539.8027386196585,533.79500083251,543.4825008476196,555.5952786442886,524.7561119295258,513.2765091338434,497.9094452209873,460.972222941158,458.4444873816603,439.4076234630815,330.5277782934152,272.0000004240884
12,Greece,40.447232680000326,42.38204600000034,46.249021000000376,50.2706750000004,56.26561436000046,58.79976810000047,69.42046552800056,73.11574334900058,82.81957693400066,82.78815500000074,80.28654086425875,81.35301413574304,83.30685413574304,85.60610172851618,87.34246413574313,83.61039827148494,89.62310827148497,94.5053800000006,93.43890672851636,95.61720345703178,97.59896000000076,99.80981845703178,95.08688000000116,99.3992817285162,99.29694000000056,95.02058672851634,97.56522845703168,94.5460850000006,95.08571586425832,85.07810086425873,87.28198586425832,93.5598632714852,78.25012672851636,74.24824827148471,66.00332032000068,46.200907690000285,53.1173501000003,49.71599378000039,59.63285989000048,30.492776302330245
