,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2351010110890908,1.4409511796039394,1.548106061844546,1.5438762638613637,1.5438762638613637,1.6811097095379293,1.6857154895640607,1.989884962310202,2.00797599761868,7.726561094829796,9.288762740847206,8.931410807210252,10.408487750854617,16.785924064790226,21.906025581661755,21.472772441565784,22.155496919088275,20.805142854666137,20.058672090546786,23.65548890022252,24.432733144822176,25.80729845292892,22.462969067746226
1,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9083786002244388,0.9251683222399032,0.8672919761315,0.8560348062359753,0.8733272314389137,0.969681046703383,0.9895200084270354,0.9496311428788058,0.9827261234064424,1.0612479478468655,1.110750510984971,1.0264316971431833,1.1901018450487282,1.1884460184580223,1.8371255625019656,1.95371253057318,2.070299498644394,2.186886466709696,2.173665692346329,2.1886159770546496,2.202973567437169
2,US,16.732739617763297,19.388729406644536,22.04472013548089,25.759469717577275,28.846282290192622,30.942382179636056,22.19421999530869,28.103717755367374,31.054236837413537,32.28745793828788,37.00321271198192,39.31184120128074,46.96246058164025,63.71341899365864,80.42665687406992,93.97538182803814,131.70010634296793,166.34359347494873,227.21904732996228,258.13699208430853,296.77344588424535,319.2232555782918,319.41301028887494,345.2194484760947,349.9152971810906,363.8415381756553,393.47456181573136,392.8891604612586,388.6174822649227,388.41131995594753,347.1517788095627
4,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.923413870911986,8.745168954283427,10.79793272471884,11.90239711428772,13.89124530038326,15.130984945569724,16.03718276187046,18.42794526233854,17.594175521231268,17.970120433325974,9.645982619504604
5,Brazil,68.09447217917557,70.9895391881416,69.46354007977082,72.43739690794992,77.26307642431044,79.89313312351449,83.17372329353897,80.36224522328978,78.88258143055604,79.06424092585138,67.68864617820091,60.68811436023059,68.53943592578207,65.14586771898499,72.63654876081763,78.60512921533446,73.32066666378306,101.79415042790704,136.11462394004064,149.2425046936713,159.43358791566925,145.60754323121907,137.85752651510984,161.90605170398445,178.7411772414129,211.8503149535679,192.5597788788469,202.2669967131657,234.6277417021936,260.5819471516952,260.3048218397406
6,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708400622196339,1.4390632193432291,1.7144212781373225,2.580489948553004,4.073116098999885,6.238887399665038,7.142970755667396,7.47297319032135,7.566142997895006,7.832648105878573,8.288742302177086,8.03423164507327,8.449830465944203,9.575209461826656,9.658378057507097,8.633271059483942
9,Austria,0.0737786315004114,0.0818900911037397,0.090698420178359,0.1042592580471605,0.0735118515592393,0.1312278546339953,0.1287000578767981,0.1524157949226842,0.1559209460979637,0.183531964986176,0.1979464716093039,0.227073274361819,0.2349288528353488,0.2438002213541868,0.2485409689231968,0.945555556312,3.396805558273,3.9551246698307656,4.80788383717964,6.101158393769816,5.946621949201742,5.976356449225529,5.913144171397183,5.203568448607299,6.466800727395662,7.702739895051081,6.384036282885006,5.568790504455031,5.817271060209372,5.851623560236854,5.190879993258731
10,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5251767683574569,4.137013638733059,4.090695243134363,4.0411049960994,3.997602556499469,4.801479076332511,2.999623316555171,5.053090259647322,5.453738212921815,5.402472510977565,5.419951171002627,6.718335267219455
11,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007444753281933,0.0446685196915982,0.0521132729735313,0.0,0.0074481726149698,0.0148855982475686,0.857498490436755,1.446557439265902,1.4430025707768657,2.146556367684042,2.132384541839913,2.36621733197788,5.04483256425722,5.042333591680351,1.8310540523342551,4.036218197978594,3.8416717865206023,4.451611114672399,4.634773243800167
12,France,0.0,0.0,0.0724408571894059,0.3618959789954075,1.0935534328516558,1.7379311054330977,2.6050769971809955,3.4068285887518552,2.9253245087223188,3.05252413334664,3.6503701072542936,3.700499390379455,3.879929814313167,3.5651479580554253,3.8881775441357984,6.583405757211316,7.972721945485972,16.064713953615453,26.06936570161026,27.89204037448454,27.33482665390565,27.00110661280214,29.559470787378384,30.106843380124023,32.464575109430896,32.74787453426989,32.94605443135684,33.203515769451705,32.82588713426071,34.18155685545636,30.757135847161265
13,Germany,0.0,0.0,0.0513711613461391,0.0513734235881925,0.2876189602497174,0.3594805766876238,0.5646552835460291,0.9235956410310152,1.0260493316315746,1.335928133391698,2.56926350289362,3.5970436615505377,5.652283485536944,8.09887660418618,10.795379543119507,19.939837979167837,31.798754270988827,36.146409781088806,31.71529046120252,31.512588750467632,31.542222247456003,32.84833335961199,34.9925555835496,31.311944469494,32.8313333595984,30.7781666912892,30.84444446912,31.3887778028888,32.71790159284099,32.16014118795034,39.26409951807794
14,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.753794120113199,1.9327628340682816,2.178183364158843,1.9773176051067167,7.982817432522077,12.88480789972494,15.863597199212526,15.672072068331138,17.493719339590406,14.687109248572876,12.546003829608404,15.485837676463037,15.401496348940256,15.610444905371656,15.97882589007866,9.359374118598607,13.247009731706768
